"name","franchID","W","L","park","attendance","yearID","games","win.perc","Capacity","Attend.G","Att.perc"
"Cincinnati Reds","CIN",74,88,"Great American Ball Park",2058632,2008,162,0.457,42271,25415,0.601
"Cleveland Indians","CLE",81,81,"Progressive Field",2169760,2008,162,0.5,37630,26787,0.712
"Colorado Rockies","COL",74,88,"Coors Field",2650218,2008,162,0.457,50398,32719,0.649
"Detroit Tigers","DET",74,88,"Comerica Park",3202645,2008,162,0.457,41574,39539,0.951
"Florida Marlins","MIA",84,77,"Pro Player Stadium",1335076,2008,161,0.522,47972,16585,0.346
"Houston Astros","HOU",86,75,"Minute Maid Park",2779487,2008,161,0.534,41574,34528,0.831
"Kansas City Royals","KCR",75,87,"Kauffman Stadium",1578922,2008,162,0.463,38177,19493,0.511
"Los Angeles Angels of Anaheim","LAA",100,62,"Angel Stadium",3336747,2008,162,0.617,45493,41194,0.906
"Los Angeles Dodgers","LAD",84,78,"Dodger Stadium",3730553,2008,162,0.519,56000,46056,0.822
"Milwaukee Brewers","MIL",90,72,"Miller Park",3068458,2008,162,0.556,41900,37882,0.904
"Minnesota Twins","MIN",88,75,"Hubert H Humphrey Metrodome",2302431,2008,163,0.54,56144,28251,0.503
"New York Yankees","NYY",89,73,"Yankee Stadium",4298655,2008,162,0.549,56937,53070,0.932
"New York Mets","NYM",89,73,"Shea Stadium",4042045,2008,162,0.549,57333,49902,0.87
"Oakland Athletics","OAK",75,86,"Oakland Coliseum",1665256,2008,161,0.466,35067,20686,0.59
"Philadelphia Phillies","PHI",92,70,"Citizens Bank Park",3422583,2008,162,0.568,43826,42254,0.964
"Pittsburgh Pirates","PIT",67,95,"PNC Park",1609076,2008,162,0.414,38496,19865,0.516
"San Diego Padres","SDP",63,99,"Petco Park",2427535,2008,162,0.389,41164,29970,0.728
"Seattle Mariners","SEA",61,101,"Safeco Field",2329702,2008,162,0.377,47116,28762,0.61
"San Francisco Giants","SFG",72,90,"AT&T Park",2863837,2008,162,0.444,41915,35356,0.844
"St. Louis Cardinals","STL",86,76,"Busch Stadium III",3432917,2008,162,0.531,46200,42382,0.917
"Tampa Bay Rays","TBR",97,65,"Tropicana Field",1811986,2008,162,0.599,31042,22370,0.721
"Texas Rangers","TEX",79,83,"Rangers Ballpark in Arlington",1945677,2008,162,0.488,48911,24021,0.491
"Toronto Blue Jays","TOR",86,76,"Skydome",2399786,2008,162,0.531,50516,29627,0.586
"Washington Nationals","WSN",59,102,"Nationals Park",2320400,2008,161,0.366,43341,28825,0.665
"Arizona Diamondbacks","ARI",70,92,"Chase Field",2128765,2009,162,0.432,48519,26281,0.542
"Atlanta Braves","ATL",86,76,"Turner Field",2373631,2009,162,0.531,50096,29304,0.585
"Baltimore Orioles","BAL",64,98,"Oriole Park at Camden Yards",1907163,2009,162,0.395,45971,23545,0.512
"Boston Red Sox","BOS",95,67,"Fenway Park",3062699,2009,162,0.586,37673,37811,1.004
"Chicago White Sox","CHW",79,83,"U.S. Cellular Field",2284163,2009,162,0.488,40615,28200,0.694
"Chicago Cubs","CHC",83,78,"Wrigley Field",3168859,2009,161,0.516,40929,39365,0.962
"Cincinnati Reds","CIN",78,84,"Great American Ball Park",1747919,2009,162,0.481,42271,21579,0.51
"Cleveland Indians","CLE",65,97,"Progressive Field",1766242,2009,162,0.401,37630,21805,0.579
"Colorado Rockies","COL",92,70,"Coors Field",2665080,2009,162,0.568,50398,32902,0.653
"Detroit Tigers","DET",86,77,"Comerica Park",2567165,2009,163,0.528,41574,31499,0.758
"Florida Marlins","MIA",87,75,"Pro Player Stadium",1464109,2009,162,0.537,47972,18075,0.377
"Houston Astros","HOU",74,88,"Minute Maid Park",2521076,2009,162,0.457,41574,31124,0.749
"Kansas City Royals","KCR",65,97,"Kauffman Stadium",1797891,2009,162,0.401,38177,22196,0.581
"Los Angeles Angels of Anaheim","LAA",97,65,"Angel Stadium",3240386,2009,162,0.599,45493,40005,0.879
"Los Angeles Dodgers","LAD",95,67,"Dodger Stadium",3761655,2009,162,0.586,56000,46440,0.829
"Milwaukee Brewers","MIL",80,82,"Miller Park",3037451,2009,162,0.494,41900,37499,0.895
"Minnesota Twins","MIN",87,76,"Hubert H Humphrey Metrodome",2416237,2009,163,0.534,56144,29647,0.528
"New York Yankees","NYY",103,59,"Yankee Stadium New",3719358,2009,162,0.636,52355,45918,0.877
"New York Mets","NYM",70,92,"Citi Field",3168571,2009,162,0.432,45000,39118,0.869
"Oakland Athletics","OAK",75,87,"Oakland Coliseum",1408783,2009,162,0.463,35067,17392,0.496
"Philadelphia Phillies","PHI",93,69,"Citizens Bank Park",3600693,2009,162,0.574,43826,44453,1.014
"Pittsburgh Pirates","PIT",62,99,"PNC Park",1577853,2009,161,0.385,38496,19601,0.509
"San Diego Padres","SDP",75,87,"Petco Park",1919603,2009,162,0.463,41164,23699,0.576
"Seattle Mariners","SEA",85,77,"Safeco Field",2195533,2009,162,0.525,47116,27105,0.575
"San Francisco Giants","SFG",88,74,"AT&T Park",2862110,2009,162,0.543,41915,35335,0.843
"St. Louis Cardinals","STL",91,71,"Busch Stadium III",3343252,2009,162,0.562,46200,41275,0.893
"Tampa Bay Rays","TBR",84,78,"Tropicana Field",1874962,2009,162,0.519,31042,23148,0.746
"Texas Rangers","TEX",87,75,"Rangers Ballpark in Arlington",2156016,2009,162,0.537,48911,26617,0.544
"Toronto Blue Jays","TOR",75,87,"Skydome",1876129,2009,162,0.463,50516,23162,0.459
"Washington Nationals","WSN",59,103,"Nationals Park",1817226,2009,162,0.364,43341,22435,0.518
"Arizona Diamondbacks","ARI",65,97,"Chase Field",2056941,2010,162,0.401,48519,25394,0.523
"Atlanta Braves","ATL",91,71,"Turner Field",2510119,2010,162,0.562,50096,30989,0.619
"Baltimore Orioles","BAL",66,96,"Oriole Park at Camden Yards",1733018,2010,162,0.407,45971,21395,0.465
"Boston Red Sox","BOS",89,73,"Fenway Park",3046443,2010,162,0.549,37673,37610,0.998
"Chicago White Sox","CHW",88,74,"U.S. Cellular Field",2194378,2010,162,0.543,40615,27091,0.667
"Chicago Cubs","CHC",75,87,"Wrigley Field",3062973,2010,162,0.463,40929,37814,0.924
"Cincinnati Reds","CIN",91,71,"Great American Ball Park",2060550,2010,162,0.562,42271,25439,0.602
"Cleveland Indians","CLE",69,93,"Progressive Field",1394812,2010,162,0.426,37630,17220,0.458
"Colorado Rockies","COL",83,79,"Coors Field",2875245,2010,162,0.512,50398,35497,0.704
"Detroit Tigers","DET",81,81,"Comerica Park",2461237,2010,162,0.5,41574,30386,0.731
"Florida Marlins","MIA",80,82,"Pro Player Stadium",1535226,2010,162,0.494,47972,18953,0.395
"Houston Astros","HOU",76,86,"Minute Maid Park",2331490,2010,162,0.469,41574,28784,0.692
"Kansas City Royals","KCR",67,95,"Kauffman Stadium",1615324,2010,162,0.414,38177,19942,0.522
"Los Angeles Angels of Anaheim","LAA",80,82,"Angel Stadium",3250816,2010,162,0.494,45493,40134,0.882
"Los Angeles Dodgers","LAD",80,82,"Dodger Stadium",3562320,2010,162,0.494,56000,43979,0.785
"Milwaukee Brewers","MIL",77,85,"Miller Park",2776531,2010,162,0.475,41900,34278,0.818
"Minnesota Twins","MIN",94,68,"Target Field",3223640,2010,162,0.58,42000,39798,0.948
"New York Yankees","NYY",95,67,"Yankee Stadium New",3765807,2010,162,0.586,52355,46491,0.888
"New York Mets","NYM",79,83,"Citi Field",2559738,2010,162,0.488,45000,31602,0.702
"Oakland Athletics","OAK",81,81,"Oakland Coliseum",1418391,2010,162,0.5,35067,17511,0.499
"Philadelphia Phillies","PHI",97,65,"Citizens Bank Park",3647249,2010,162,0.599,43826,45028,1.027
"Pittsburgh Pirates","PIT",57,105,"PNC Park",1613399,2010,162,0.352,38496,19919,0.517
"San Diego Padres","SDP",90,72,"Petco Park",2131774,2010,162,0.556,41164,26318,0.639
"Seattle Mariners","SEA",61,101,"Safeco Field",2085488,2010,162,0.377,47116,25747,0.546
"San Francisco Giants","SFG",92,70,"AT&T Park",3037443,2010,162,0.568,41915,37499,0.895
"St. Louis Cardinals","STL",86,76,"Busch Stadium III",3301218,2010,162,0.531,46200,40756,0.882
"Tampa Bay Rays","TBR",96,66,"Tropicana Field",1843445,2010,162,0.593,31042,22759,0.733
"Texas Rangers","TEX",90,72,"Rangers Ballpark in Arlington",2505171,2010,162,0.556,48911,30928,0.632
"Toronto Blue Jays","TOR",85,77,"Skydome",1625555,2010,162,0.525,50516,20069,0.397
"Washington Nationals","WSN",69,93,"Nationals Park",1828066,2010,162,0.426,43341,22569,0.521
"Arizona Diamondbacks","ARI",94,68,"Chase Field",2105432,2011,162,0.58,48519,25993,0.536
"Atlanta Braves","ATL",89,73,"Turner Field",2372940,2011,162,0.549,50096,29296,0.585
"Baltimore Orioles","BAL",69,93,"Oriole Park at Camden Yards",1755461,2011,162,0.426,45971,21672,0.471
"Boston Red Sox","BOS",90,72,"Fenway Park",3054001,2011,162,0.556,37673,37704,1.001
"Chicago White Sox","CHW",79,83,"U.S. Cellular Field",2001117,2011,162,0.488,40615,24705,0.608
"Chicago Cubs","CHC",71,91,"Wrigley Field",3017966,2011,162,0.438,40929,37259,0.91
"Cincinnati Reds","CIN",79,83,"Great American Ball Park",2213588,2011,162,0.488,42271,27328,0.646
